year,white,black,asian,hispanic
2000,32448,25844,33904,22048
2001,34008,26676,35620,23452
2002,34736,26884,36816,23920
2003,35360,27924,37908,24440
2004,36452,29016,39052,25168
2005,37180,28912,41132,25740
2006,38064,30368,43836,26364
2007,39104,30940,45760,27248
2008,40300,31772,47944,29484
2009,41028,32032,48204,29952
2010,41340,32968,47060,29588
2011,42068,33176,48152,30160
2012,42952,33800,51064,30888
2013,43420,33904,52624,31252
2014,44148,34112,53196,32136
2015,45136,34840,55432,32656
2016,46592,36660,58032,34268
2017,47788,36556,58812,35568
2018,49192,37440,60996,36764
2019,51064,39884,66820,38168
