occupation,white,black,asian,hispanic, annual_salary 
National average,77.70%,12.30%,6.50%,17.60%,"53,490"
Public Relations and Fundraising Managers,89.80%,8.00%,0.40%,1.40%,"132,630"
Advertising and Promotions Managers,89.50%,0.70%,7.00%,9.00%,"141,890"
Marketing and Sales Managers,86.10%,6.10%,5.60%,8.90%,"144,660"
Lawyers,86.60%,5.90%,5.70%,5.80%,"145,300"
Financial Managers,80.20%,8.50%,9.40%,11.40%,"147,530"
Aircraft Pilots and Flight Engineers,93.70%,2.60%,3.40%,2.20%,"152,610"
Architectural and Engineering Managers,81.50%,6.00%,11.80%,6.70%,"152,930"
Computer and Information Systems Managers,72.70%,9.60%,15.80%,4.70%,"156,390"
Dentists,74.30%,0.80%,23.60%,7.20%,"183,060"
Chief Executives,88.80%,4.10%,5.80%,6.20%,"193,850"
