date,white,black,asian
1/1/2010,8.8,16.5,8.3
2/1/2010,8.9,16.1,8.2
3/1/2010,8.9,16.8,7.6
4/1/2010,9,16.6,7
5/1/2010,8.7,15.5,7.8
6/1/2010,8.6,15.2,7.4
7/1/2010,8.5,15.6,7.9
8/1/2010,8.6,15.9,7.3
9/1/2010,8.6,16,6.6
10/1/2010,8.6,15.6,7.2
11/1/2010,8.9,16.2,7.5
12/1/2010,8.5,15.5,7.2
1/1/2011,8.1,16.5,6.8
2/1/2011,8.1,16.1,6.7
3/1/2011,8,16.8,7.3
4/1/2011,8.1,16.6,6.5
5/1/2011,7.9,15.5,7.2
6/1/2011,8.1,15.2,6.5
7/1/2011,8,15.6,7.4
8/1/2011,7.9,15.9,7.2
9/1/2011,7.9,16,8
10/1/2011,7.9,15.6,7.4
11/1/2011,7.7,16.2,6.4
12/1/2011,7.5,15.5,6.8
1/1/2012,7.4,13.6,6.7
2/1/2012,7.4,14,6.2
3/1/2012,7.3,14,6.4
4/1/2012,7.4,13.3,5.4
5/1/2012,7.4,13.5,5.5
6/1/2012,7.3,14.5,6.1
7/1/2012,7.3,14.2,5.9
8/1/2012,7.2,13.8,5.9
9/1/2012,7,13.6,4.9
10/1/2012,6.9,14.1,4.9
11/1/2012,6.8,13.3,6.3
12/1/2012,6.9,14,6.6
1/1/2013,7.1,13.7,6.4
2/1/2013,6.8,13.8,6
3/1/2013,6.7,13,5.1
4/1/2013,6.7,13.3,5.3
5/1/2013,6.7,13.4,4.5
6/1/2013,6.6,14.2,4.7
7/1/2013,6.5,12.6,5.3
8/1/2013,6.4,12.8,5.1
9/1/2013,6.3,13,5.4
10/1/2013,6.3,12.8,5.4
11/1/2013,6.1,12.3,5.2
12/1/2013,5.9,11.9,4.3
1/1/2014,5.7,12.1,4.7
2/1/2014,5.8,11.8,5.9
3/1/2014,5.8,12.1,5.5
4/1/2014,5.3,11.6,5.9
5/1/2014,5.4,11.4,5.7
6/1/2014,5.3,11,4.7
7/1/2014,5.3,11.6,4.2
8/1/2014,5.3,11.4,4.5
9/1/2014,5.1,11,4.4
10/1/2014,4.9,10.6,5.1
11/1/2014,5,10.9,4.8
12/1/2014,4.7,10.6,4.4
1/1/2015,4.9,10.3,4
2/1/2015,4.7,10.1,4
3/1/2015,4.8,9.9,3.2
4/1/2015,4.7,9.7,4.4
5/1/2015,4.8,10.3,4.1
6/1/2015,4.6,9.7,3.9
7/1/2015,4.5,9.1,3.9
8/1/2015,4.4,9.4,3.4
9/1/2015,4.4,9.3,3.5
10/1/2015,4.4,9,3.5
11/1/2015,4.4,9.4,3.9
12/1/2015,4.4,8.5,4.1
1/1/2016,4.2,8.7,3.6
2/1/2016,4.3,8.5,3.8
3/1/2016,4.3,8.9,3.9
4/1/2016,4.4,8.8,3.8
5/1/2016,4.2,8.2,4.2
6/1/2016,4.3,8.8,3.5
7/1/2016,4.2,8.4,3.8
8/1/2016,4.3,8,4.1
9/1/2016,4.4,8.5,3.8
10/1/2016,4.4,8.4,3.4
11/1/2016,4.2,8.1,3.1
12/1/2016,4.2,7.9,2.7
1/1/2017,4.2,7.5,3.7
2/1/2017,4,7.9,3.4
3/1/2017,3.9,7.9,3.3
4/1/2017,3.9,7.9,3.3
5/1/2017,3.8,7.7,3.7
6/1/2017,3.8,7.1,3.6
7/1/2017,3.7,7.4,3.8
8/1/2017,3.8,7.7,3.9
9/1/2017,3.7,7.2,3.6
10/1/2017,3.5,7.4,3
11/1/2017,3.7,7.4,3
12/1/2017,3.7,6.7,2.5
1/1/2018,3.5,7.5,3
2/1/2018,3.7,6.7,2.9
3/1/2018,3.6,6.8,3.1
4/1/2018,3.6,6.4,2.8
5/1/2018,3.5,5.9,2.2
6/1/2018,3.5,6.5,3.2
7/1/2018,3.3,6.6,3.1
8/1/2018,3.4,6.3,3
9/1/2018,3.3,6.2,3.5
10/1/2018,3.3,6.3,3.1
11/1/2018,3.4,6.1,2.8
12/1/2018,3.4,6.6,3.3
1/1/2019,3.5,6.8,3.1
2/1/2019,3.3,6.9,3.1
3/1/2019,3.4,6.6,3.1
4/1/2019,3.1,6.6,2.2
5/1/2019,3.3,6.2,2.5
6/1/2019,3.3,6,2.1
7/1/2019,3.3,5.9,2.8
8/1/2019,3.4,5.4,2.8
9/1/2019,3.2,5.5,2.5
10/1/2019,3.2,5.5,2.8
11/1/2019,3.2,5.6,2.6
12/1/2019,3.2,5.9,2.5
1/1/2020,3.1,6,3
2/1/2020,3.1,5.8,2.5
3/1/2020,4,6.7,4.1
4/1/2020,14.2,16.7,14.5
5/1/2020,12.4,16.8,15
